Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
Mercer,SoCon,41,0.3,0.421,371,"1,407",422,83,5,749,78,340,267,43,23,26,335,16,10,6,45,9,
Merrimack,NEC,36,0.251,0.354,175,"1,201",301,60,10,459,26,162,160,38,11,10,299,21,10,10,13,3,
Miami (FL),ACC,41,0.289,0.395,313,"1,413",408,78,8,649,49,279,220,42,23,5,355,30,8,6,42,6,
Miami (OH),MAC,40,0.285,0.378,266,"1,346",383,100,13,608,33,237,158,53,14,20,382,16,16,4,62,2,
Michigan,Big Ten,38,0.274,0.379,289,"1,338",366,76,6,610,52,266,188,46,13,8,335,21,9,5,51,4,
Michigan St.,Big Ten,39,0.272,0.356,214,"1,330",362,76,12,543,27,191,156,27,17,8,295,22,18,3,52,,
Middle Tenn.,C-USA,38,0.269,0.344,203,"1,295",348,61,4,522,35,183,101,54,14,12,280,30,20,8,47,2,
Milwaukee,Horizon,36,0.269,0.348,211,"1,239",333,54,9,474,23,195,124,33,11,8,261,26,6,2,54,1,
Minnesota,Big Ten,39,0.246,0.344,192,"1,275",314,69,9,503,34,168,158,39,13,14,321,24,15,10,52,6,
Mississippi St.,SEC,42,0.273,0.376,306,"1,448",395,67,2,691,75,279,201,50,19,6,358,19,6,6,32,5,
Mississippi Val.,SWAC,29,0.278,0.378,198,907,252,33,8,352,17,169,100,51,8,19,223,15,10,9,61,3,
Missouri,SEC,38,0.281,0.383,269,"1,297",365,64,4,551,38,247,163,62,20,6,324,16,8,1,50,2,
Missouri St.,MVC,37,0.298,0.402,296,"1,305",389,82,6,660,59,278,197,41,17,4,374,27,4,1,14,1,
Monmouth,MAAC,37,0.245,0.367,223,"1,227",301,62,3,495,42,204,214,31,14,6,340,26,9,2,27,3,
Morehead St.,OVC,38,0.288,0.377,250,"1,278",368,75,8,618,53,231,152,39,15,26,336,27,11,2,33,1,
Mount St. Mary's,NEC,35,0.252,0.369,220,"1,153",291,53,3,419,23,184,179,45,17,22,299,18,21,9,79,2,
Murray St.,OVC,40,0.274,0.374,298,"1,388",381,69,13,608,44,256,200,31,16,7,376,16,10,12,91,3,
N.C. A&T,Big South,39,0.261,0.348,205,"1,344",351,76,8,518,25,186,138,48,13,28,336,35,16,7,21,1,
Navy,Patriot,41,0.258,0.358,219,"1,336",345,60,11,493,22,199,166,50,13,15,249,25,6,3,27,2,
NC State,ACC,39,0.3,0.389,311,"1,416",425,83,8,725,67,280,184,37,23,18,344,31,7,,32,10,
Nebraska,Big Ten,40,0.246,0.361,230,"1,304",321,61,13,510,34,201,176,66,13,22,372,23,18,7,46,2,
Nevada,Mountain West,38,0.318,0.415,339,"1,392",443,95,13,678,38,311,172,79,31,12,279,28,10,11,41,7,
New Mexico,Mountain West,40,0.284,0.365,242,"1,406",400,92,18,657,43,226,153,34,17,12,339,28,5,5,17,6,
New Mexico St.,WAC,38,0.292,0.374,252,"1,307",382,83,15,624,43,224,142,36,13,15,323,34,17,3,34,3,
New Orleans,Southland,38,0.291,0.384,294,"1,327",386,71,8,566,31,258,154,59,19,10,287,27,6,4,23,4,
Niagara,MAAC,35,0.23,0.316,130,"1,157",266,45,5,384,21,112,118,32,10,5,328,16,11,9,30,2,
Nicholls,Southland,37,0.265,0.385,242,"1,177",312,43,7,465,32,206,189,53,20,13,266,26,24,8,53,3,
